location,url
Berat,https://www.airbnb.com/s/Berat--Albania
Bogë,https://www.airbnb.com/s/Bog%C3%AB--Albania
Borsh,https://www.airbnb.com/s/Borsh--Albania
Butrint,https://www.airbnb.com/s/Butrint--Albania
Delvinë District,https://www.airbnb.com/s/Delvin%C3%AB-District--Albania
Dhërmi,https://www.airbnb.com/s/Dh%C3%ABrmi--Albania
Drymades,https://www.airbnb.com/s/Drymades--Albania
Durrës County,https://www.airbnb.com/s/Durr%C3%ABs-County--Albania
Durrës,https://www.airbnb.com/s/Durr%C3%ABs--Albania
Elbasan,https://www.airbnb.com/s/Elbasan--Albania
Fier,https://www.airbnb.com/s/Fier--Albania
Fushe -Thethi,https://www.airbnb.com/s/Fushe-~Thethi--Albania
Fushë-Krujë,https://www.airbnb.com/s/Fush%C3%AB~Kruj%C3%AB--Albania
Gjirokaster,https://www.airbnb.com/s/Gjirokaster--Albania
Golem,https://www.airbnb.com/s/Golem--Albania
Himarë,https://www.airbnb.com/s/Himar%C3%AB--Albania
Jala,https://www.airbnb.com/s/Jala--Albania
Kamëz,https://www.airbnb.com/s/Kam%C3%ABz--Albania
Kaninë,https://www.airbnb.com/s/Kanin%C3%AB--Albania
Kavajë,https://www.airbnb.com/s/Kavaj%C3%AB--Albania
Korçë,https://www.airbnb.com/s/Kor%C3%A7%C3%AB--Albania
Krujë District,https://www.airbnb.com/s/Kruj%C3%AB-District--Albania
Kryemëdhenj,https://www.airbnb.com/s/Kryem%C3%ABdhenj--Albania
Ksamil Islands,https://www.airbnb.com/s/Ksamil-Islands--Albania
Ksamil,https://www.airbnb.com/s/Ksamil--Albania
Laknas,https://www.airbnb.com/s/Laknas--Albania
Lalëz,https://www.airbnb.com/s/Lal%C3%ABz--Albania
Laç,https://www.airbnb.com/s/La%C3%A7--Albania
Lezhë District,https://www.airbnb.com/s/Lezh%C3%AB-District--Albania
Librazhd,https://www.airbnb.com/s/Librazhd--Albania
Lis,https://www.airbnb.com/s/Lis--Albania
Lukovë,https://www.airbnb.com/s/Lukov%C3%AB--Albania
Lushnjë,https://www.airbnb.com/s/Lushnj%C3%AB--Albania
Mjull Bathore,https://www.airbnb.com/s/Mjull-Bathore--Albania
Orikum,https://www.airbnb.com/s/Orikum--Albania
Palasë,https://www.airbnb.com/s/Palas%C3%AB--Albania
Plazhi San Pietro,https://www.airbnb.com/s/Plazhi-San-Pietro--Albania
Pogradec,https://www.airbnb.com/s/Pogradec--Albania
Porto Palermo,https://www.airbnb.com/s/Porto-Palermo--Albania
Qeparo,https://www.airbnb.com/s/Qeparo--Albania
Qerret,https://www.airbnb.com/s/Qerret--Albania
Radhimë,https://www.airbnb.com/s/Radhim%C3%AB--Albania
Rahovic,https://www.airbnb.com/s/Rahovic--Albania
Rubik,https://www.airbnb.com/s/Rubik--Albania
Sarandë District,https://www.airbnb.com/s/Sarand%C3%AB-District--Albania
Sarandë,https://www.airbnb.com/s/Sarand%C3%AB--Albania
Shkodër County,https://www.airbnb.com/s/Shkod%C3%ABr-County--Albania
Shkodër,https://www.airbnb.com/s/Shkod%C3%ABr--Albania
Shëngjin,https://www.airbnb.com/s/Sh%C3%ABngjin--Albania
Tirana County,https://www.airbnb.com/s/Tirana-County--Albania
Tirana,https://www.airbnb.com/s/Tirana--Albania
Upper Qeparo,https://www.airbnb.com/s/Upper-Qeparo--Albania
Vaqarr,https://www.airbnb.com/s/Vaqarr--Albania
Velipojë,https://www.airbnb.com/s/Velipoj%C3%AB--Albania
Verri,https://www.airbnb.com/s/Verri--Albania
Vlorë County,https://www.airbnb.com/s/Vlor%C3%AB-County--Albania
Vlorë,https://www.airbnb.com/s/Vlor%C3%AB--Albania
Vorë e Vjetër,https://www.airbnb.com/s/Vor%C3%AB-e-Vjet%C3%ABr--Albania
Voskopojë,https://www.airbnb.com/s/Voskopoj%C3%AB--Albania
Vuno,https://www.airbnb.com/s/Vuno--Albania
Zus,https://www.airbnb.com/s/Zus--Albania
