location,url
Albania,https://www.airbnb.com/sitemaps/AL
Algeria,https://www.airbnb.com/sitemaps/DZ
Andorra,https://www.airbnb.com/sitemaps/AD
Anguilla,https://www.airbnb.com/sitemaps/AI
Antigua and Barbuda,https://www.airbnb.com/sitemaps/AG
Argentina,https://www.airbnb.com/sitemaps/AR
Armenia,https://www.airbnb.com/sitemaps/AM
Aruba,https://www.airbnb.com/sitemaps/AW
Australia,https://www.airbnb.com/sitemaps/AU
Austria,https://www.airbnb.com/sitemaps/AT
Azerbaijan,https://www.airbnb.com/sitemaps/AZ
